mods_id,xi,omega,alpha,name,value,params_1,wl_weight,post_tx_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,bio_weight,abo_weight,height_weight,cost_weight,distance_weight,method
post_tx_death,75.50768678084047,11.26170264449066,1.0504109624457598,abo,B,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,10.433924543386995,1.4856965603936836,0.888829635882139,abo,B,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,3378.6326639279205,71.67871513936049,0.636633273178542,abo,O,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,2088.6445627660305,59.57709170900488,1.1729283194016364,abo,O,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,356.20548617033614,25.403946922021916,-1.2891544680885638,abo,O,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,15.809625709790575,0.9939534613320063,0.4286602685093888,abo,O,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,95.45324444399274,7.086129664114392,2.8084826346221465,abo,O,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,108.56262709827084,5.803322708180599,-0.6598869725492217,abo,O,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,165.37627690058574,12.8923095260703,1.6149040735185316,abo,O,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,245.26338070187052,18.9265044794689,0.9261022360929234,abo,O,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,10.523964298688597,0.8505728165515261,1.1039688514539303,abo,O,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,553.2309346347919,29.188104265887716,-1.1054791754741833,age_cat,"(-Inf,35]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,374.6049556469142,22.5889496022703,0.7260912003915743,age_cat,"(-Inf,35]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,30.452584026231907,8.240879804532899,1.5701864843822282,age_cat,"(-Inf,35]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,11.188631605654,3.4672550459521667,2.0622284523225076,age_cat,"(-Inf,35]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,138.4085504747956,14.079379789025698,1.0288020123872064,age_cat,"(-Inf,35]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,73.03619917056209,10.626513274585715,1.7967145556622055,age_cat,"(-Inf,35]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,197.60757110411288,17.91267613072784,0.9799088981970556,age_cat,"(-Inf,35]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,36.13982781268189,7.628162657576574,1.1553934978928602,age_cat,"(-Inf,35]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,8.34219886464191,1.8331863412365992,1.1703645349679044,age_cat,"(-Inf,35]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,1184.214572564588,38.70016974129334,-0.5593209109495735,age_cat,"(35,50]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,900.4442998768695,35.210716835807084,-0.9571223719114672,age_cat,"(35,50]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,72.01056734634726,10.758683167375464,0.8901064259289614,age_cat,"(35,50]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,12.634865013093613,2.271606267879355,1.3100947732629966,age_cat,"(35,50]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,156.83104043198844,9.944170042890727,0.3810264964028454,age_cat,"(35,50]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,64.30682873020382,5.434110198904158,0.895865593808737,age_cat,"(35,50]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,206.34579852984012,13.260038490513452,0.9410557511005856,age_cat,"(35,50]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,90.73373411694976,10.705810973531678,-0.6049263653431077,age_cat,"(35,50]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
