wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,params_1,match_alg_name
0.2,0.25,0.25,0,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,192,PRE_ABO_CAS
0.2,0.3,0,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,193,PRE_ABO_CAS
0.2,0.3,0,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,194,PRE_ABO_CAS
0.2,0.3,0,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,195,PRE_ABO_CAS
0.2,0.3,0,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,196,PRE_ABO_CAS
0.2,0.3,0,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,197,PRE_ABO_CAS
0.2,0.3,0.05,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,198,PRE_ABO_CAS
0.2,0.3,0.05,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,199,PRE_ABO_CAS
0.2,0.3,0.05,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,200,PRE_ABO_CAS
0.2,0.3,0.05,0.15,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,201,PRE_ABO_CAS
0.2,0.3,0.1,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,202,PRE_ABO_CAS
0.2,0.3,0.1,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,203,PRE_ABO_CAS
0.2,0.3,0.1,0.1,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,204,PRE_ABO_CAS
0.2,0.3,0.15,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,205,PRE_ABO_CAS
